title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade
Blinding Lights,The Weeknd,pop,happy,0.8,171,0.75,0.85,0.05,95,2020s
Bohemian Rhapsody,Queen,rock,epic,0.7,144,0.60,0.40,0.15,92,1970s
God's Plan,Drake,hip-hop,chill,0.5,77,0.45,0.75,0.02,93,2010s
Bad Guy,Billie Eilish,pop,dark,0.4,135,0.30,0.70,0.10,91,2010s
Levitating,Dua Lipa,pop,happy,0.85,103,0.80,0.90,0.03,89,2020s
Lose Yourself,Eminem,hip-hop,intense,0.9,171,0.25,0.65,0.01,88,2000s
Here Comes The Sun,The Beatles,rock,happy,0.55,129,0.85,0.50,0.60,87,1970s
Midnight Rain,Taylor Swift,pop,sad,0.45,108,0.35,0.60,0.20,84,2020s
HUMBLE.,Kendrick Lamar,hip-hop,intense,0.85,150,0.30,0.70,0.01,90,2010s
Clair de Lune,Debussy,classical,peaceful,0.2,76,0.70,0.10,0.98,80,1900s
Ocean Eyes,Billie Eilish,pop,sad,0.3,146,0.40,0.45,0.35,86,2010s
Starboy,The Weeknd,pop,dark,0.75,186,0.50,0.80,0.02,88,2010s
Smells Like Teen Spirit,Nirvana,rock,intense,0.92,117,0.40,0.50,0.05,91,1990s
redbone,Childish Gambino,soul,chill,0.5,96,0.65,0.75,0.10,85,2010s
Numb,Linkin Park,rock,sad,0.7,174,0.20,0.40,0.05,89,2000s
Lo-Fi Study Beat,Various,lofi,peaceful,0.25,85,0.55,0.50,0.80,70,2020s
Resonance,HOME,electronic,chill,0.55,95,0.70,0.65,0.15,75,2010s
Sicko Mode,Travis Scott,hip-hop,intense,0.88,155,0.35,0.80,0.01,91,2010s
Vienna,Billy Joel,pop,peaceful,0.35,132,0.65,0.40,0.45,82,1970s
Africa,Toto,rock,happy,0.65,93,0.75,0.60,0.20,88,1980s
Circles,Post Malone,pop,sad,0.55,120,0.40,0.65,0.25,87,2010s
Formation,Beyoncé,hip-hop,intense,0.80,154,0.55,0.85,0.02,89,2010s
Weightless,Marconi Union,ambient,peaceful,0.1,60,0.50,0.05,0.95,65,2010s
Mr. Brightside,The Killers,rock,intense,0.85,148,0.50,0.55,0.05,90,2000s
Golden Hour,JVKE,pop,happy,0.60,97,0.90,0.72,0.30,86,2020s
